collocation;count;count_nested;length;lambda;z
your son;11;0;2;4.3138913552024984;12.572210166561149
in a;135;0;2;1.1547786079538271;12.556006849494484
that is;80;0;2;1.4881052532734795;12.543650395574012
be able;12;0;2;4.57376965508411;12.54140985478625
to the;302;0;2;0.7848956997615453;12.48617241347949
have seen;17;0;2;3.4547062853221484;12.480669551222894
had gone;14;0;2;4.098895411108827;12.474831500950994
we must;18;0;2;3.1334344568784167;12.468746635743232
tell us;10;0;2;4.189485160117757;12.447391019469501
came to;35;0;2;2.4159932140967424;12.41417011509091
able to;28;0;2;4.6209537910632434;12.316906519407082
thank you;20;0;2;5.536706635866349;12.27194200192372
we had;36;0;2;2.14404449925135;12.2258656659128
i will;48;0;2;1.9582282098187855;12.180668861232881
what did;14;0;2;3.4468390130908015;12.147935891313512
i asked;27;0;2;3.009606561996869;12.144482344314984
the first;40;0;2;2.685025089452327;12.132229530922633
he is;68;0;2;1.5537271942020094;12.130700660348321
would give;10;0;2;4.217951360964899;12.127623910022825
came down;12;0;2;3.6845845748885324;12.124153047064958
not think;19;0;2;2.953575145433623;12.106853251551458
a long;28;0;2;2.7657363577667287;12.094898516356153
wish to;23;0;2;3.7595125334045494;12.070485464705902
very good;13;0;2;3.5830245928759332;12.061469854285512
i know;39;0;2;2.197127242194414;12.043684221781744
she has;19;0;2;2.897597562350027;12.038414580662456
came back;10;0;2;3.9959234802429573;12.019865835492846
said she;20;0;2;2.8210428690473153;12.018987583410281
the morning;42;0;2;2.4609240742895166;11.998087935281982
only one;14;0;2;3.3710244582745648;11.984507251941665
the most;40;0;2;2.592958280515811;11.978116612732208
his own;20;0;2;2.9724604195051993;11.942930313597012
to get;24;0;2;3.178270234759402;11.922936135645312
she cried;10;0;2;4.257701910085797;11.917343353311486
at present;12;0;2;4.550566079292436;11.915238859472337
had left;16;0;2;3.2951582282379923;11.899446417877796
do nothing;10;0;2;3.9856898120231183;11.870573018173054
for some;22;0;2;2.675828202417126;11.85504480761038
i must;37;0;2;2.223680473031576;11.842756123791212
far from;11;0;2;3.974682354571721;11.838802323600778
it seems;17;0;2;4.760459585344817;11.786052239779234
a large;22;0;2;3.7513086143845547;11.746851711428564
was no;32;0;2;2.2241139999028;11.738475424473277
as much;18;0;2;3.001873545037378;11.727101967942662
some time;12;0;2;3.540986254129108;11.704980455273546
the case;43;0;2;2.2852159161416328;11.68941544996472
my hand;19;0;2;2.9247766055198703;11.652282714463972
he might;22;0;2;2.7441871043053956;11.650461909596144
believe that;17;0;2;4.695719243909775;11.627356013731072
one who;14;0;2;3.2565672543964443;11.62697793366164
put on;10;0;2;3.933821866484101;11.584165917171573
how could;12;0;2;3.5018858979971155;11.559973691009395
he spoke;15;0;2;4.5046331820887;11.544715683364437
this matter;14;0;2;3.2659104145492086;11.52648448225208
name is;14;0;2;3.7134498622533667;11.524752678423635
which led;11;0;2;4.614793849117232;11.45200768639219
of a;168;0;2;0.9412606983921137;11.416841630041928
his wife;15;0;2;3.438900239012571;11.37602727532543
have given;12;0;2;4.090821277817879;11.350107866902436
to find;25;0;2;2.731757130258482;11.347333662148433
i heard;30;0;2;2.4144105468887975;11.329474497956852
of my;84;0;2;1.314692099309985;11.296445391165326
be happy;10;0;2;5.226478772735046;11.282251354143298
to tell;26;0;2;2.617659997485719;11.277626883143096
so that;37;0;2;1.9683371742964426;11.262307211096092
does not;10;0;2;4.1745680496216835;11.246547405862021
miss hunter;17;0;2;9.641510928975574;11.21837593196065
my sister;12;0;2;4.337722668402513;11.200533352610272
irene adler;14;0;2;13.260895771924702;11.198267432201419
i do;43;0;2;1.882419679341531;11.172779852727228
the whole;35;0;2;3.927046089338813;11.170145420471512
a woman;22;0;2;2.93695439843492;11.088343919587052
chair and;14;0;2;3.7413766969230475;11.072904110470851
back to;27;0;2;2.459570033239417;11.07229672401879
was not;46;0;2;1.7153003761651777;11.050643365225381
into a;41;0;2;1.8767452698637697;11.046197763968372
as if;18;0;2;2.7815394665477045;11.03833343556168
end of;19;0;2;3.589180203065358;11.037394591234003
whom i;15;0;2;3.6219913855082897;11.035242038787233
up and;29;0;2;2.1827784355004045;11.021969128920665
the police;35;0;2;4.0271415206458165;11.016784145779189
down into;13;0;2;3.175153898420775;11.013043515550299
against the;29;0;2;3.0808776759456356;10.992460066672717
come to;29;0;2;2.3160376338015958;10.98479690665348
should not;18;0;2;2.701912490155252;10.935033933459051
sure that;14;0;2;3.839052848662489;10.915045330847633
as to;81;0;2;1.2906522752681377;10.914852659977601
like a;24;0;2;2.5875614945825616;10.907011110050153
a good;26;0;2;2.4807386193085175;10.906440287536807
i understand;21;0;2;3.11293341202238;10.873700306200362
is no;26;0;2;2.2466816302067056;10.83894072719922
he took;17;0;2;2.9502638756490853;10.832232528103685
that they;23;0;2;2.479789401863503;10.79785758418439
for the;110;0;2;1.1264948786030748;10.776061282591696
understand that;14;0;2;4.505634491381912;10.773084462775074
all that;34;0;2;1.9591025431415137;10.765990949666044
do so;14;0;2;2.9758353246467;10.733455847579167
he answered;14;0;2;3.3980455935462768;10.718277993362465
all right;10;0;2;3.553722569823941;10.702563282493017
the table;36;0;2;4.291513567010393;10.697993225632187
it may;25;0;2;2.295458084981495;10.694457070655165
what i;37;0;2;1.8606531102910737;10.68478128765762
your own;11;0;2;3.377453944510254;10.647580535222813
i felt;19;0;2;3.761991918832158;10.610288601286783
his father;15;0;2;3.055113139682555;10.597654833458103
which was;50;0;2;1.5719277519434192;10.597311898288384
me that;38;0;2;1.8146980299441182;10.596242076561614
to make;22;0;2;2.701740922750527;10.594046661337112
you would;30;0;2;2.038453488145067;10.575978518100905
some little;13;0;2;3.0316539640162414;10.560062578536682
he could;29;0;2;2.0711070528620388;10.5336961577663
as though;10;0;2;4.866697845448387;10.518130574025415
at first;13;0;2;3.142263129888467;10.473360296509156
we should;16;0;2;2.720657714190082;10.442070357637611
to come;29;0;2;2.171526533958202;10.430861314642904
possible that;13;0;2;3.6642403148993843;10.424999530450048
am not;16;0;2;2.724996857949074;10.41995056201172
at all;24;0;2;2.216524100826601;10.410952803161795
over his;20;0;2;2.478127112755325;10.41010806429728
will excuse;10;0;2;7.355763264821171;10.408427419875673
his pocket;11;0;2;4.345512033109426;10.393665305418898
i did;29;0;2;2.1809636517349063;10.361256081558281
i believe;18;0;2;3.570829103715773;10.354481287882807
you think;22;0;2;2.358988376107378;10.35409754722829
have ever;13;0;2;3.154670665211535;10.35027810903696
down the;50;0;2;1.6814840145126624;10.348389810048033
if he;23;0;2;2.250543151741757;10.283797964610423
but he;36;0;2;1.7749163570655306;10.215550131041587
my heart;10;0;2;4.094653471834443;10.212055269492085
ask you;11;0;2;3.708537074627028;10.195086841534563
i went;21;0;2;2.6899025129557335;10.177234346726685
had come;16;0;2;2.690409896930175;10.17131150563679
as possible;11;0;2;3.4222757675472133;10.159240478108984
a word;17;0;2;3.203212485737821;10.124902087739347
up in;29;0;2;2.0008180691932704;10.119104105456485
felt that;12;0;2;3.689280120984205;10.05058060797024
his son;12;0;2;3.3308970550070045;10.04876851828248
out into;13;0;2;2.873229914418207;10.047368639653314
her own;10;0;2;3.310034610314807;10.031783977294909
can be;15;0;2;2.703373036880908;10.01849640583228
seems to;16;0;2;4.069725321100794;9.980626717217847
among the;24;0;2;3.5654717671681464;9.966487992209384
no more;11;0;2;3.098313113601529;9.963318019365241
hand and;14;0;2;2.9938773655824584;9.936900051357602
i answered;18;0;2;2.961614223052256;9.89964769377863
out upon;16;0;2;2.5572357936954044;9.896349497711057
i took;22;0;2;2.4740802217293547;9.896231712597855
for me;30;0;2;1.8751688973752483;9.893348918258804
find it;14;0;2;2.9026888517564013;9.89140807809552
his lips;10;0;2;4.555978805066184;9.853844720651304
she would;16;0;2;2.5415808336705346;9.850593111743423
afraid that;13;0;2;4.980088288921458;9.831632080034815
have made;14;0;2;2.800999104490162;9.802349557687098
this way;11;0;2;3.0737282250397193;9.78447239669682
up to;36;0;2;1.761498655350843;9.769944270696914
appeared to;16;0;2;4.306137209998806;9.768014166760581
not be;27;0;2;1.9470139144863845;9.761921155944572
in order;12;0;2;4.208140682087565;9.76108715439018
when you;26;0;2;2.0028263798826864;9.757355989075457
had better;10;0;2;3.4238229904053723;9.756201810597753
a great;18;0;2;2.7396793063745126;9.700522898515128
the fire;24;0;2;2.9877200277164504;9.690295307460737
but how;11;0;2;3.09256218637271;9.682957402110935
and there;42;0;2;1.6151504073884517;9.673475744880628
with him;26;0;2;1.968466992096364;9.668897805565791
began to;20;0;2;5.035621154830827;9.665952175278353
his shoulders;10;0;2;4.824265526038085;9.649078045996474
used to;15;0;2;4.11805274660873;9.637940566373244
hope that;11;0;2;3.6608041001575042;9.62083675781633
in london;13;0;2;3.1868568137126907;9.619312972334658
and now;30;0;2;1.9404279274723812;9.599026579780997
give you;12;0;2;3.0666163428413737;9.582025334100345
cry of;15;0;2;4.261014795781255;9.569706866634347
we can;13;0;2;2.7530815058509566;9.569318369332354
of those;18;0;2;2.670782993638118;9.564225827162227
upon my;27;0;2;1.9097727625335184;9.561919377399457
read it;10;0;2;3.582370504238034;9.554858428983465
i came;28;0;2;1.9968320436119331;9.508290395155274
will do;11;0;2;2.924408061352147;9.46233382571688
i remarked;17;0;2;2.8378531477291924;9.444479059125847
a cab;14;0;2;3.645413315080677;9.432597891308097
until he;12;0;2;2.9359527648655543;9.42287696044994
to my;74;0;2;1.1576810677013194;9.418147155425062
which has;19;0;2;2.2422777038534907;9.417533769265736
it must;20;0;2;2.239804185967591;9.403267612977986
in england;11;0;2;4.124174619595934;9.392175124526082
the name;26;0;2;2.414584941521755;9.391910363204444
had seen;11;0;2;3.037473999699696;9.385485166549849
during the;21;0;2;3.0731864365390913;9.380683535154123
heard of;22;0;2;2.2377049047560895;9.374816991913017
man with;15;0;2;2.5065056092705964;9.361733068980273
to look;18;0;2;2.5670348264139085;9.314687101047086
should have;18;0;2;2.2859000669994862;9.29620694805337
all about;10;0;2;3.0165180943509555;9.294169618675237
with her;24;0;2;1.9639047726166616;9.287056430715893
the lady;27;0;2;2.271750464166325;9.267857809155634
this case;10;0;2;3.0391403600680884;9.26781392819384
of them;26;0;2;1.9901851608585512;9.236086636210342
my life;10;0;2;3.2379428723819066;9.20806108699947
corner of;13;0;2;3.694582321328287;9.195228596924544
face and;14;0;2;2.6723517344530863;9.166655503286822
when we;14;0;2;2.511242518916092;9.158130987468084
but what;16;0;2;2.3658762191294387;9.158024782607495
what is;26;0;2;1.8636816653222046;9.137460051686187
to know;28;0;2;1.8819629108033524;9.12916745611108
the facts;21;0;2;3.1002318025854736;9.115631983128855
part of;13;0;2;3.3960431319256514;9.108977139876824
and we;45;0;2;1.4529374605303542;9.097847584649909
a year;13;0;2;3.5735726717045857;9.092523252027652
your majesty;15;0;2;7.787292782712916;9.090569352311384
upon me;22;0;2;1.99771928228202;9.083692343257715
of these;18;0;2;2.459358241556343;9.071652918537701
i would;41;0;2;1.5206333912679795;9.064967329754808
see him;12;0;2;2.6891713699989968;9.064866502111862
they have;17;0;2;2.288782693318688;9.056126412581403
such as;11;0;2;2.842886799636199;9.052933473198276
away with;10;0;2;3.0086454453728195;9.052552574714111
could be;17;0;2;2.255295782384657;9.017387567903183
is very;25;0;2;1.8721709738662224;9.0041059064616409
to him;47;0;2;1.394235755788805;8.99575858378045
the last;30;0;2;1.989927685040806;8.991554656198751
time to;21;0;2;2.186223626109593;8.98658563558547
if it;22;0;2;2.0002098298807462;8.983968212251755
holmes had;16;0;2;2.331099973510414;8.975182272783927
the same;53;0;2;5.775615968588385;8.923833961184343
hosmer angel;17;0;2;13.448891894261632;8.907964719284314
the corner;20;0;2;3.375245762566325;8.888080718458728
pounds a;12;0;2;3.433283815505117;8.882734368011368
which she;18;0;2;2.1603092691032475;8.8676810199126
his hat;10;0;2;3.126205307390982;8.86730209703167
all over;10;0;2;2.8625911230020447;8.861463684700265
but there;17;0;2;2.2120843040408005;8.854434875209972
into my;19;0;2;2.101187822885503;8.843172165808657
i don't;13;0;2;3.743639958917337;8.831360761317622
but if;12;0;2;2.639642517806177;8.82476846411259
upon her;17;0;2;2.196427464111867;8.821689253583392
was quite;14;0;2;2.5397633026701825;8.798953753764975
come from;10;0;2;2.8637124261715985;8.79686579804622
door and;13;0;2;2.6470654026981313;8.783127130160702
he looked;11;0;2;2.943802618434916;8.779799957667237
likely to;12;0;2;3.9017740516841366;8.767533668382287
told you;10;0;2;3.053680104987586;8.76163637941154
what can;10;0;2;2.832510659401349;8.757333522927457
sign of;12;0;2;4.044715767568654;8.74872099004236
she is;26;0;2;1.7747388616434052;8.727154926319018
not only;12;0;2;2.6000045953370705;8.719189420490098
take it;12;0;2;2.704849976694864;8.712059248299958
it has;24;0;2;1.8596347177272676;8.701103845610579
a week;12;0;2;3.4192574929632302;8.69989104780908
have come;14;0;2;2.428395151409863;8.691751528757408
to ask;13;0;2;3.02174986894801;8.687802837654418
a single;12;0;2;4.007113532052397;8.667674752995278
at night;10;0;2;2.886964632592686;8.658469541599535
where he;13;0;2;2.5188330611946084;8.644021385041762
down to;29;0;2;1.726209326964148;8.638051482897593
stoke moran;11;0;2;13.616914486758008;8.634628041689497
